20 3 6098895130.50
20 4 5431920190.50
20 5 4890859367.25
20 6 4407806428.00
20 7 4091541140.50
20 8 3911824390.00
20 9 3729834078.50
20 10 3589621421.00
40 3 9769826364.25
40 4 8542641549.50
40 5 7945815771.00
40 6 7471611299.00
40 7 6960822490.00
40 8 6503574747.00
40 9 6215529656.75
40 10 5887703553.50
60 3 18477151624.50
60 4 15748452846.50
60 5 14725469475.50
60 6 13930069916.75
60 7 13269403344.75
60 8 12779975022.00
60 9 12281257390.25
60 10 11763168198.75
80 3 19046603568.75
80 4 17690394126.75
80 5 16596242628.50
80 6 15841838584.00
80 7 15238702202.00
80 8 14837234709.00
80 9 14418555427.00
80 10 14048379108.50
100 3 25075398045.00
100 4 22515355701.25
100 5 20926092017.25
100 6 19470462876.25
100 7 18378455990.75
100 8 17619391739.75
100 9 16936303699.50
100 10 16405279049.50
120 3 33636918328.75
120 4 29997447377.75
120 5 28021290568.50
120 6 26495971769.75
120 7 25330087740.00
120 8 24274741610.25
120 9 23423139720.50
120 10 22661633389.75
140 3 37559119971.00
140 4 34998109043.00
140 5 32861107297.75
140 6 31032775683.00
140 7 29503499067.25
140 8 28391798191.00
140 9 27314594675.50
140 10 26282845079.75
160 3 43314804948.25
160 4 39187134460.25
160 5 36284700030.50
160 6 34564392438.50
160 7 32887479887.75
160 8 31686423040.00
160 9 30667573191.75
160 10 29784412453.50
180 3 55309810210.75
180 4 47989200897.25
180 5 45101102402.25
180 6 42446204271.50
180 7 40921636141.00
180 8 39572858343.00
180 9 38824075381.25
180 10 37843358696.75
200 3 58542484092.00
200 4 54324286651.25
200 5 50044439643.25
200 6 47016966533.25
200 7 44884472003.50
200 8 42797161324.50
200 9 41604209502.50
200 10 40557221240.00
